categoryID,categoryName,spotifyID,spotifyName,spotifyPopularity
1549,les miserables,1sOm29klKGTLL4iloExzHY,Les Misérables,5
3189,robbie williams,2OxxlRafbW0SATEVM3k1we,Robbie Williams,38
3206,rolling stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,86
3344,westlife,5Z1CCuBsyhEHngq3U5IraY,Westlife,74
3886,will young,2U6gqwyl9F33YxawnFrZG7,Will Young,62
3892,george michael,19ra5tSw0tWufvUp8GotLo,George Michael,75
3921,blind guardian,7jxJ25p0pPjk0MStloN6o6,Blind Guardian,59
4016,roland kaiser,1uphmI1bErhHslREq9QusL,Roland Kaiser,53
4051,madonna,1Rdd9HpkLJP623hYgchQsi,Madonna,17
4084,basement jaxx,4YrKBkKSVeqDamzBPWVnSJ,Basement Jaxx,66
4093,iron maiden,6mdiAmATAx73kdxrNrnlao,Iron Maiden,79
4094,bullet for my valentine,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,76
4095,die apokalyptischen reiter,04L8hbMJRQ5vFnLeDgA8xn,Die Apokalyptischen Reiter,48
4098,jamie cullum,3XxxEq6BREC57nCWXbQZ7o,Jamie Cullum,68
4099,b.b. king,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,77
4101,jay z,3nFkdlSjzX9mRTtwJOzDYB,JAY Z,93
4103,angie stone,2hWr3AjjKOCVmWcwvuT4uM,Angie Stone,61
4105,beverley knight,30AzZL0valZQ62OIQiFWvk,Beverley Knight,54
4106,xavier naidoo,47RPLpnGhBRTjQrRBOev9s,Xavier Naidoo,54
4108,we are scientists,35YNL4wwv11ZkmeWWL51y7,We Are Scientists,57
4109,maximo park,048FBwXjFYBWxSggPDipic,Maximo Park,60
4111,keane,53A0W3U0s8diEn9RhXQhVz,Keane,76
4112,the kooks,54hZOIAleqWZSZdo3ti2hq,The Kooks,20
4114,placebo,43stuLIinn8c0meBNQ9A82,Placebo,13
4115,pearl jam,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,81
4116,primal scream,3wury2nd8idV4GecUg5xze,Primal Scream,62
4120,lyle lovett,0zlJDQgqnr9AocrH9gs1Es,Lyle Lovett,56
4129,pink,5yZIMouFE8eYDV30tJP4Uk,Pink,58
4133,mando diao,5I4eibDkC7gg0hmczTZuND,Mando Diao,67
4135,pur,175a900UJkfGsIGcvUDaEx,Pur,64
4136,flaming lips,16eRpMNXSQ15wuJoeqguaB,The Flaming Lips,66
4137,hansi hinterseer,7m2tpD8DRZqubnY4BydLGe,Hansi Hinterseer,46
4139,bushido,61hSqpsjGKqWDV07kqCw6V,Bushido,2
4142,fettes brot,3RRODs1rHC2ktLqyDDfgPH,Fettes Brot,61
4144,joy denalane,5vP3nmsaGrondXXS5BvrSH,Joy Denalane,55
4181,razorlight,450iujbtN6XgiA9pv6fVZz,Razorlight,63
4209,ll cool j,1P8IfcNKwrkQP5xJWuhaOC,LL Cool J,69
4211,muse,4L6i1I6tFpc1bKui5coGme,Muse,32
4221,snow patrol,3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,76
4228,kylie minogue,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,75
4229,richard ashcroft,1HGTHrRQkw0BtevSo1jucU,Richard Ashcroft,56
4230,ryan adams & the cardinals,5GHv1pBOWOQxIE6WQBq88Q,Ryan Adams & The Cardinals,53
4235,mcfly,47izDDvtOxxz3FzHYuUptd,McFly,66
4236,new order,0kB6WCAxbzpPVOtRlfEqiS,New Order,16
4243,bruce springsteen,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,82
4284,corinne bailey rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,70
4285,the zutons,2qV7axHq9Jk7QqFcB3f05A,The Zutons,54
4288,cliff richard,2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,57
4289,madness,4AYkFtEBnNnGuoo8HaHErd,Madness,65
4290,inxs,1eClJfHLoDI4rZe5HxzBFv,INXS,70
4292,afi,4VWfewccp4oKM9JU9RqZqD,Afi,2
4296,beth orton,6cLEWhEKQl6nAvgr60M7zC,Beth Orton,54
4297,embrace,0RJbBczT2LVkF6XqPwhcL8,Embrace,2
4298,the feeling,4AksvCnkZaQoTu1nJr62Db,The Feeling,52
4300,goo goo dolls,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,76
4301,gotan project,44ejFPE33H5aOInxNV2BFP,Gotan Project,63
4302,jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Jurassic 5,65
4303,lordi,14SgKNlOCKAI0PfRD1HnWh,Lordi,58
4306,panic! at the disco,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,85
4307,paul weller,7Lf3LOZp3U3u2f6cWMd3AH,Paul Weller,64
4309,shayne ward,6H4lieipng8aGu3Hbd1UeJ,Shayne Ward,55
4310,tom jones,1OB6hTSCYbxFscpIV4wAnu,Tom Jones,39
4312,the waterboys,5TnuP42pw475UrjjeabtwZ,The Waterboys,60
4313,tindersticks,3dmSPhg0tdao8ePj4pySJ5,Tindersticks,50
4319,paul simon,7saY0ZRzZgJJJgRw4yn7Vo,Paul Simon,37
4324,red hot chili peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,88
4325,the automatic,7IZcg74X6CKzf0SfRliRrB,The Automatic,51
4333,chris de burgh,2RpHsROrX075xfIwHn6B2U,Chris De Burgh,61
4334,the killers,0C0XlULifJtAgn6ZNCW2eu,The Killers,84
4337,the raconteurs,4wo1267SJuUfHgasdlfNfc,The Raconteurs,66
4338,lostprophets,7KnaZr690xW0sCihF9Z8oP,lostprophets,60
4347,marti pellow,73C7mbrvLWUKVFY7Zc1PPN,Marti Pellow,30
4348,lily allen,13saZpZnCDWOI9D4IJhp1f,Lily Allen,78
4349,rancid,6xTk3EK5T9UzudENVvu9YB,Rancid,68
4350,tool,6zreklnHnGi9Zfr2WhaO5a,Tool,41
4351,paul rodgers,2gaWNB3YrlTc0KRlHNqhol,Paul Rodgers,52
4352,babyshambles,0IBAqjHG8DSaD7PPCGnGiZ,Babyshambles,59
4354,jet,5ypxebeHEIXjMtJb17uJlI,Jet,68
4355,ben kweller,7bhMBjjQhgPX0q9S4Ajncn,Ben Kweller,51
4357,richard hawley,1ZsnHGOLYFg8CAHQQBc1ut,Richard Hawley,54
