"CategoryID","CategoryName"
1549,"Les Miserables"
3189,"Robbie Williams"
3206,"Rolling Stones"
3344,"Westlife"
3886,"Will Young"
3892,"George Michael"
3921,"Blind Guardian"
4016,"Roland Kaiser"
4038,"Udo Jürgens"
4051,"Madonna"
4084,"Basement Jaxx"
4093,"Iron Maiden"
4094,"Bullet For My Valentine"
4095,"Die Apokalyptischen Reiter"
4097,"Till Brönner"
4098,"Jamie Cullum"
4099,"B.B. King"
4101,"Jay Z"
4103,"Angie Stone"
4105,"Beverley Knight"
4106,"Xavier Naidoo"
4108,"We Are Scientists"
4109,"Maximo Park"
4111,"Keane"
4112,"The Kooks"
4114,"Placebo"
4115,"Pearl Jam"
4116,"Primal Scream"
4120,"Lyle Lovett"
4129,"Pink"
4133,"Mando Diao"
4135,"PUR"
4136,"Flaming Lips"
4137,"Hansi Hinterseer"
4139,"Bushido"
4142,"Fettes Brot"
4143,"Gentleman & far East Band"
4144,"Joy Denalane"
4181,"Razorlight"
4209,"LL Cool J"
4211,"Muse"
4221,"Snow Patrol"
4228,"Kylie Minogue"
4229,"Richard Ashcroft"
4230,"Ryan Adams & The Cardinals"
4231,"MTV2 Spanking New Music Tour"
4235,"McFly"
4236,"New Order"
4243,"Bruce Springsteen"
4284,"Corinne Bailey Rae"
4285,"The Zutons"
4288,"Cliff Richard"
4289,"Madness"
4290,"INXS"
4292,"AFI"
4294,"Antony & the Johnsons with Charles Atlas"
4296,"Beth Orton"
4297,"Embrace"
4298,"The Feeling"
4300,"Goo Goo Dolls"
4301,"Gotan Project"
4302,"Jurassic 5"
4303,"Lordi"
4306,"Panic! At the Disco"
4307,"Paul Weller"
4309,"Shayne Ward"
4310,"Tom Jones"
4312,"The Waterboys"
4313,"Tindersticks"
4319,"Paul Simon"
4324,"Red Hot Chili Peppers"
4325,"The Automatic"
4333,"Chris de Burgh"
4334,"The Killers"
4335,"Motörhead"
4337,"The Raconteurs"
4338,"Lostprophets"
4347,"Marti Pellow"
4348,"Lily Allen"
4349,"Rancid"
4350,"Tool"
4351,"Paul Rodgers"
4352,"Babyshambles"
4353,"NME Rock N Roll Riot Tour"
4354,"Jet"
4355,"Ben Kweller"
4357,"Richard Hawley"
4358,"Randy Crawford"
4359,"Kasabian"
4360,"Willie Nelson"
4361,"Ray Lamontagne"
4369,"Die Ärzte"
4372,"Scissor Sisters"
4373,"Snoop Dogg"
4374,"Lionel Richie"
4375,"Tenacious D"
4376,"Christina Aguilera"
4379,"The Who"
4380,"My Chemical Romance"
4385,"Evanescence"
4393,"Herbert Grönemeyer"
4395,"Meat Loaf"
4397,"James Morrison"
4398,"Paolo Nutini"
4400,"Beyonce"
4404,"Morrissey"
4405,"Deacon Blue"
4406,"The Magic Numbers"
4412,"Pussycat Dolls"
4413,"The Beautiful South"
4414,"X Factor Live"
4422,"Dolly Parton"
4423,"Incubus"
4424,"Bloc Party"
4425,"Justin Timberlake"
4426,"Bryan Adams"
4427,"XFM Winter Wonderland"
4428,"Massive Attack"
4429,"Roger Waters"
4434,"Nine Inch Nails"
4435,"Faithless"
4437,"Get Cape Wear Cape Fly"
4438,"The Decemberists"
4439,"Buena Vista Social Club"
4440,"America"
4441,"Journey"
4442,"Pink Martini"
4443,"Genesis"
4444,"Barenaked Ladies"
4445,"Michael Ball"
4446,"Michael Bolton"
4447,"Lemar"
4450,"Söhne Mannheims"
4456,"Il Divo"
4459,"Kings of Leon"
4460,"NME Awards Tour"
4461,"Nelly Furtado"
4462,"The Fratellis"
4508,"Elton John"
4514,"Ricky Gervais"
4515,"Arcade Fire"
4517,"Arctic Monkeys"
4543,"Dave Matthews Band"
4546,"Fall Out Boy"
4547,"Rod Stewart"
4548,"Girls Aloud"
4555,"Shakira"
4556,"NME Indie Rock Tour"
4557,"Tokio Hotel"
4559,"The Rakes"
4564,"Sugababes"
4581,"Bryan Ferry"
4593,"Kaiser Chiefs"
4595,"Gloria Gaynor"
4600,"Ash"
4602,"Beatsteaks"
4604,"Versus Cancer"
4607,"Wet Wet Wet"
4608,"Keith Urban"
4609,"James Taylor"
4610,"Rosenstolz"
4611,"Sportfreunde Stiller"
4614,"The View"
4615,"Deep Purple"
4616,"James"
4618,"Ozzy Osbourne"
4620,"Noel Gallagher"
4621,"Aerosmith"
4622,"Manic Street Preachers"
4624,"The Twang"
4627,"Simply Red"
4629,"Chris Isaak"
4630,"Diana Ross"
4631,"Rise Against"
4632,"Joe Cocker"
4633,"The Police"
4634,"Travis"
4646,"John Fogerty"
4647,"Sonic Youth"
4649,"Tori Amos"
4651,"Take That"
4659,"Pet Shop Boys"
4662,"The Good, The Bad and The Queen"
4663,"Deftones"
4664,"Madeleine Peyroux"
4665,"Trivium"
4666,"Spiritualized"
4667,"Klaxons"
4668,"Funeral for a Friend"
4669,"OMD"
4670,"Damien Rice"
4671,"Runrig"
4672,"Ray Quinn"
4673,"Alexander O'Neal"
4674,"Christy Moore"
4679,"Donny Osmond"
4683,"Foo Fighters"
4690,"Metallica"
4691,"T On the Fringe"
4693,"Gwen Stefani"
4694,"Brett Anderson"
4695,"Van Morrison"
4696,"Wilco"
4697,"Groove Armada"
4708,"Linkin Park"
4709,"Editors"
4710,"The Chemical Brothers"
4711,"Blondie"
4712,"Jamie T"
4713,"Kosheen"
4714,"Mika"
4720,"John Legend"
4721,"Loudon Wainwright"
4723,"Kanye West"
4724,"Wu Tang Clan"
4725,"Lou Reed"
4726,"Rufus Wainwright"
4735,"Motley Crue"
4736,"Velvet Revolver"
4746,"REM"
4747,"Al Green"
4748,"Bright Eyes"
4749,"The Hold Steady"
4751,"Rush"
4752,"Simon Webbe"
4753,"Steely Dan"
4754,"Avril Lavigne"
4755,"Marilyn Manson"
4757,"Roger Cicero"
4792,"Live Earth"
4793,"Maroon 5"
4798,"Bon Jovi"
4799,"The Hollies"
4800,"The Waterson Family"
4801,"Joan Armatrading"
4802,"Ray Davies"
4803,"Modest Mouse"
4804,"Summer Series at Somerset House"
4805,"Mark Ronson"
4806,"Australian Pink Floyd"
4809,"Nas"
4811,"Steve Vai"
4812,"Silverchair"
4813,"Heroes Del Silencio"
4814,"Squeeze"
4816,"Daft Punk"
4817,"Head Automatica"
4818,"Norah Jones"
4819,"Happy Mondays"
4822,"Michael Bublé"
4826,"Zucchero"
4833,"30 Seconds To Mars"
4837,"North Sea Jazz Festival"
4839,"Barbra Streisand"
4842,"Mogwai"
4843,"Scorpions"
4844,"Cold War Kids"
4847,"Anouar Brahem"
4849,"Alice Cooper"
4850,"P8-Gipfel-Konzert"
4851,"Peter Gabriel"
4852,"Schlager Open-Air"
4856,"Prince"
4857,"Elvis Costello & Allen Toussaint"
4863,"Ian Brown"
4864,"John Butler Trio"
4865,"Seal"
4867,"Gossip"
4869,"Beastie Boys"
4870,"The Fray"
4872,"Gary Numan"
4873,"Smokey Robinson"
4874,"Ryan Adams"
4875,"Die Fantastischen Vier"
4878,"Stereophonics"
4881,"The Coral"
4883,"Interpol"
4884,"Lauryn Hill"
4885,"Cambridge Folk Festival"
4886,"Smashing Pumpkins"
4887,"David Sylvian"
4889,"Iggy & The Stooges"
4890,"50 Cent"
4891,"The Enemy"
4892,"Celine Dion"
4894,"Alexisonfire"
4895,"The Pigeon Detectives"
4896,"KT Tunstall"
4898,"UB40"
4900,"Akon"
4901,"Musiq Soulchild"
4902,"Billy Ocean"
4904,"Status Quo"
4905,"Athlete"
4908,"Jan Delay"
4909,"Engelbert Humperdinck"
4914,"T4 On the Beach"
4915,"Kula Shaker"
4916,"The Cribs"
4917,"Motion City Soundtrack"
4918,"The Maccabees"
4919,"Just Jack"
4921,"Sophie Ellis Bextor"
4929,"Crowded House"
4930,"The Verve"
4931,"Enter Shikari"
4933,"Spice Girls"
4934,"Jesus and Mary Chain"
4937,"Bjork"
4943,"Joss Stone"
4944,"Four Tops and Temptations"
4945,"Gentleman"
